tract_geoid,total_jobs,jobs_retail,jobs_healthcare,jobs_education,jobs_construction
24005411409,148,0,7,86,8
24005411410,424,201,14,0,56
24005411411,827,336,19,117,27
24005411412,412,300,8,4,0
24005411413,1259,14,0,1,0
24005420100,1182,508,0,26,15
24005420200,372,0,16,59,79
24005420301,198,10,0,165,0
24005420302,123,0,0,74,2
24005420303,722,194,23,279,10
24005420401,47,0,1,0,2
24005420402,269,80,7,75,7
24005420500,281,12,3,0,16
24005420600,581,88,2,84,17
24005420701,833,369,13,178,8
24005420702,162,5,7,0,24
24005420800,731,40,3,223,54
24005420900,403,28,4,175,11
24005421000,148,43,5,0,0
24005421101,194,34,4,0,18
24005421102,1688,71,275,0,10
24005421200,131,0,0,87,0
24005430101,659,117,3,75,174
24005430104,566,47,3,0,10
24005430200,760,16,0,344,24
24005430300,913,92,74,74,387
24005430400,12117,1266,574,61,1383
24005430600,561,8,135,76,14
24005430700,200,7,16,4,22
24005430800,512,69,31,198,23
24005430900,566,207,18,0,222
24005440100,828,162,57,108,20
24005440200,564,35,23,0,62
24005440300,1120,691,43,0,24
24005440400,310,19,4,123,56
24005440500,406,40,29,202,24
24005440600,6953,758,143,326,182
24005440701,8570,51,77,3184,79
24005440702,2938,862,86,178,69
24005440800,1549,323,24,0,225
24005440900,469,95,8,77,40
24005441000,149,0,27,64,41
24005441101,499,23,18,199,39
24005441102,291,57,1,5,64
24005450100,5767,491,453,53,1170
24005450200,445,35,15,174,88
24005450300,903,260,46,110,58
24005450400,609,58,31,67,29
24005450501,651,153,12,134,41
24005450503,26,0,0,0,0
24005450504,127,81,0,0,16
24005450800,568,68,29,65,13
24005450900,369,27,0,149,84
24005451000,218,24,9,11,46
24005451100,269,104,0,110,23
24005451200,7418,2061,109,57,1272
24005451300,1193,322,4,203,37
24005451401,292,45,0,65,34
24005451402,353,8,0,66,33
24005451500,380,267,4,82,2
24005451600,2014,36,486,2,7
24005451701,6209,1028,508,285,1202
24005451702,298,96,9,0,99
24005451801,338,31,4,23,97
24005451802,1319,366,7,53,222
24005451803,115,25,7,42,16
24005451900,443,123,1,139,23
24005452000,390,37,9,50,92
24005452100,188,18,0,34,21
24005452300,1185,350,10,59,28
24005452400,5243,1128,68,0,1117
24005452500,292,74,5,101,13
24005490100,633,0,30,318,48
24005490200,2070,12,227,77,48
24005490302,2699,62,262,540,71
24005490303,2959,228,375,112,118
24005490304,1400,419,151,164,3
24005490400,678,102,36,3,96
24005490500,1071,165,100,101,0
24005490601,634,214,8,29,2
24005490602,395,34,46,159,1
24005490603,529,186,24,0,1
24005490605,8253,121,40,43,37
24005490701,2546,4,33,1669,0
24005490703,12029,51,1318,770,23
24005490800,533,166,30,133,14
24005490900,10183,2654,729,45,1598
24005491000,971,0,8,79,8
24005491100,947,128,67,23,4
24005491201,3867,270,312,13,237
24005491202,745,208,0,348,0
24005491300,546,99,7,0,23
24005491401,384,72,22,66,1
24005491402,448,4,2,3,42
24005491500,299,183,4,0,2
24005491600,919,173,59,45,14
24005491701,1735,347,319,62,26
24005491900,1570,869,4,0,14
24005492001,400,0,20,252,89
24005492002,187,0,0,93,23
24005492101,933,185,21,336,73
24005492102,719,470,15,2,25
24005492200,497,135,21,12,142
24005492300,907,107,15,405,15
24005492401,298,54,2,151,4
24005492402,623,27,149,190,6
24005492500,4086,2,1264,2396,0
24005492600,641,29,1,189,6
24005492700,8431,117,0,42,115
24005980200,2982,163,19,0,211
24009860103,1883,662,100,21,133
24009860200,1418,30,141,248,392
24009860300,698,10,91,0,260
24009860402,571,90,4,49,45
24009860403,225,29,0,0,9
24009860404,608,186,44,109,16
24009860501,652,7,63,266,102
