w_geocode,C000,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,SE01,SE02,SE03,tract_geoid,fips_code
240010008001059,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,24001000800,24001
240010008001070,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,6,12,37,24001000800,24001
240010008001071,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,24001000800,24001
240010008001074,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,3,0,24001000800,24001
240010008001087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,24001000800,24001
240010008001095,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,24001000800,24001
240010008001096,17,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,12,0,0,0,0,7,5,5,24001000800,24001
240010008002004,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24001000800,24001
240010008002006,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,9,6,0,24001000800,24001
240010008002007,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,0,21,4,1,24001000800,24001
240010008002009,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,24001000800,24001
240010008002013,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,24001000800,24001
240010008002016,91,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,23,57,11,24001000800,24001
240010008002028,22,0,0,0,0,5,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,10,8,24001000800,24001
240010008002029,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,5,1,4,24001000800,24001
240010008002030,22,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,7,24001000800,24001
240010010001000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24001001000,24001
240010010001020,7,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,24001001000,24001
240010010001021,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,13,24001001000,24001
240010010001031,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24001001000,24001
240010010001059,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,8,10,1,24001001000,24001
240010010001067,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,6,9,1,24001001000,24001
240010010001068,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,24001001000,24001
240010010001069,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,24001001000,24001
240010010001078,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,24001001000,24001
240010010002000,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,2,24001001000,24001
240010010002001,30,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,27,0,18,8,4,24001001000,24001
240010010002002,88,0,0,0,0,0,0,14,0,0,3,0,0,0,37,0,0,0,10,24,0,44,19,25,24001001000,24001
