tract_geoid,fips_code,population,working_age_pop,labor_force_participation
24005440200,24005,2437,1105,1.0
24005440300,24005,2025,1064,0.9961180124223602
24005440400,24005,6062,2847,1.0
24005440500,24005,3317,1610,1.0
24005440600,24005,2434,1189,0.9971077368040492
24005440701,24005,6430,3447,1.0
24005440702,24005,5269,2773,0.9922402159244265
24005440800,24005,3596,1819,1.0
24005440900,24005,3965,1894,1.0
24005441000,24005,3928,1745,1.0
24005441101,24005,2241,1001,0.9931856899488927
24005441102,24005,5002,2296,0.9958521870286576
24005450100,24005,3688,1594,1.0
24005450200,24005,3260,1583,1.0
24005450300,24005,3383,1521,1.0
24005450400,24005,2417,1122,0.9954627949183303
24005450501,24005,3869,1574,1.0
24005450503,24005,6102,3410,1.0
24005450504,24005,6246,3163,1.0
24005450800,24005,4458,1924,1.0
24005450900,24005,4393,1958,1.0
24005451000,24005,1822,746,0.9643243243243244
24005451100,24005,2297,1161,1.0
24005451200,24005,4160,2027,1.0
24005451300,24005,3334,1435,1.0
24005451401,24005,3896,2271,1.0
24005451402,24005,5327,2508,1.0
24005451500,24005,4429,1844,1.0
24005451600,24005,1846,858,1.0
24005451701,24005,5906,3330,0.987406216505895
24005451702,24005,1874,754,1.0
24005451801,24005,5609,2369,1.0
24005451802,24005,3959,1996,1.0
24005451803,24005,4710,2640,0.996214728148658
24005451900,24005,2663,1232,1.0
24005452000,24005,2710,1169,1.0
24005452100,24005,3353,1367,1.0
24005452300,24005,2803,1231,1.0
24005452400,24005,3571,1467,1.0
24005452500,24005,4243,1729,1.0
24005490100,24005,3982,1496,1.0
24005490200,24005,3192,1391,1.0
24005490302,24005,3687,1274,0.9966592427616926
24005490303,24005,3167,1401,1.0
24005490304,24005,4392,2048,0.989006962257237
24005490400,24005,1954,811,1.0
24005490500,24005,3448,1290,1.0
24005490601,24005,2280,1003,0.9944
24005490602,24005,3015,1568,1.0
24005490603,24005,2446,1156,1.0
24005490605,24005,5069,219,1.0
24005490701,24005,1660,370,1.0
24005490703,24005,2941,1445,1.0
24005490800,24005,3105,1144,1.0
24005490900,24005,4509,1464,0.9915373765867419
24005491000,24005,2472,1042,1.0
24005491100,24005,3799,1864,1.0
24005491201,24005,2033,908,1.0
24005491202,24005,1773,1002,0.9974683544303797
24005491300,24005,3492,1522,1.0
24005491401,24005,5128,2606,1.0
24005491402,24005,3257,1636,1.0
24005491500,24005,4152,1913,0.9844520288206295
24005491600,24005,2712,1146,1.0
24005491701,24005,4111,1969,0.9901287553648068
24005491900,24005,1961,953,1.0
24005492001,24005,1224,604,1.0
24005492002,24005,3814,1877,1.0
24005492101,24005,3834,1869,1.0
24005492102,24005,2106,1036,1.0
24005492200,24005,4851,2215,1.0
24005492300,24005,3815,1701,1.0
24005492401,24005,4689,2385,1.0
24005492402,24005,6646,3317,1.0
24005492500,24005,3516,98,1.0
24005492600,24005,3765,1783,1.0
24005492700,24005,3002,1564,1.0
24005980100,24005,0,0,0.0
24005980200,24005,0,0,0.0
24009860103,24009,6543,2890,0.9736759636477593
24009860200,24009,5850,2522,0.9676781002638523
24009860300,24009,4154,1955,0.9513028620247758
24009860402,24009,3710,1750,0.9693922168780061
24009860403,24009,3760,1795,0.9243156199677939
24009860404,24009,7335,3101,0.9628718957462503
24009860501,24009,7066,3174,0.9710409600834855
24009860502,24009,3457,1510,0.9765027322404372
24009860600,24009,6610,3017,0.9885161680265941
24009860701,24009,3263,1330,0.9946581196581197
24009860702,24009,2786,1326,1.0
24009860703,24009,4172,2107,0.9838091180230081
24009860801,24009,6801,3005,0.9933609958506224
24009860901,24009,5073,2272,0.9888675623800384
24009860902,24009,2933,1461,1.0
24009861003,24009,6800,3480,0.9515524625267666
24009861004,24009,6999,3607,0.9946794360202181
24009861100,24009,5932,2862,0.9873608185374662
24009990100,24009,0,0,0.0
24011955000,24011,3338,1415,1.0
24011955100,24011,5736,2426,0.9988747186796699
24011955201,24011,4137,1987,0.9955277280858676
24011955202,24011,2413,1060,1.0
24011955301,24011,4172,1761,1.0
24011955302,24011,3210,1412,1.0
24011955400,24011,2264,1035,1.0
24011955500,24011,3622,1695,1.0
24011955600,24011,4428,1781,1.0
24013501001,24013,5353,2384,0.9903093551994037
24013501002,24013,4795,1813,1.0
24013502000,24013,3877,1774,0.9888475836431226
24013503000,24013,5937,2308,1.0
